5.891873e-02  5.415690e-02
7.787057e-01  4.560639e-01
3.408681e-01  8.605229e-03
0.000000e+00  0.000000e+00
0.000000e+00  0.000000e+00
4.461162e-01  1.020313e-01
7.659550e-01  4.091987e-02
2.095333e+00  2.500839e-01
-9.999999e-01  3.213760e-04
0.000000e+00  0.000000e+00
0.000000e+00  0.000000e+00
4.461162e-01  1.020313e-01
0.000000e+00  0.000000e+00
0.000000e+00  0.000000e+00
3.190352e-03  1.195794e-02
0.000000e+00  0.000000e+00
0.000000e+00  0.000000e+00
4.461162e-01  1.020313e-01
0.000000e+00  0.000000e+00
0.000000e+00  0.000000e+00
-1.496507e-01  1.402805e-02
0.000000e+00  0.000000e+00
0.000000e+00  0.000000e+00
4.461162e-01  1.020313e-01
0.000000e+00  0.000000e+00
0.000000e+00  0.000000e+00
0.000000e+00  0.000000e+00
0.000000e+00  0.000000e+00
0.000000e+00  0.000000e+00
4.461162e-01  1.020313e-01
0.000000e+00  0.000000e+00
0.000000e+00  0.000000e+00
0.000000e+00  0.000000e+00
0.000000e+00  0.000000e+00
0.000000e+00  0.000000e+00
4.461162e-01  1.020313e-01
