2.024010e+00  1.461310e-06  8.958580e-01  0.000000e+00  0.000000e+00  2.778320e-01  0.000000e+00  0.000000e+00  -3.701660e-01  0.000000e+00  0.000000e+00  2.778320e-01  0.000000e+00  0.000000e+00  -3.701660e-01  0.000000e+00  0.000000e+00  2.778320e-01  2.024010e+00  1.461310e-06  8.958580e-01  0.000000e+00  0.000000e+00  2.778320e-01  0.000000e+00  0.000000e+00  -3.701660e-01  0.000000e+00  0.000000e+00  2.778320e-01  0.000000e+00  0.000000e+00  -3.701660e-01  0.000000e+00  0.000000e+00  2.778320e-01  
2.110918e+00  4.355470e-03  8.725405e-01  0.000000e+00  0.000000e+00  2.749801e-01  0.000000e+00  0.000000e+00  -3.786858e-01  0.000000e+00  0.000000e+00  2.749801e-01  0.000000e+00  0.000000e+00  -3.786858e-01  0.000000e+00  0.000000e+00  2.749801e-01  2.110918e+00  4.355470e-03  8.725405e-01  0.000000e+00  0.000000e+00  2.749801e-01  0.000000e+00  0.000000e+00  -3.786858e-01  0.000000e+00  0.000000e+00  2.749801e-01  0.000000e+00  0.000000e+00  -3.786858e-01  0.000000e+00  0.000000e+00  2.749801e-01  
2.086892e+00  1.489042e-02  8.845867e-01  0.000000e+00  0.000000e+00  2.763945e-01  0.000000e+00  0.000000e+00  -3.516641e-01  0.000000e+00  0.000000e+00  2.763945e-01  0.000000e+00  0.000000e+00  -3.516641e-01  0.000000e+00  0.000000e+00  2.763945e-01  2.086892e+00  1.489042e-02  8.845867e-01  0.000000e+00  0.000000e+00  2.763945e-01  0.000000e+00  0.000000e+00  -3.516641e-01  0.000000e+00  0.000000e+00  2.763945e-01  0.000000e+00  0.000000e+00  -3.516641e-01  0.000000e+00  0.000000e+00  2.763945e-01  
2.102164e+00  3.179671e-03  9.139759e-01  0.000000e+00  0.000000e+00  2.772906e-01  0.000000e+00  0.000000e+00  -3.803854e-01  0.000000e+00  0.000000e+00  2.772906e-01  0.000000e+00  0.000000e+00  -3.803854e-01  0.000000e+00  0.000000e+00  2.772906e-01  2.102164e+00  3.179671e-03  9.139759e-01  0.000000e+00  0.000000e+00  2.772906e-01  0.000000e+00  0.000000e+00  -3.803854e-01  0.000000e+00  0.000000e+00  2.772906e-01  0.000000e+00  0.000000e+00  -3.803854e-01  0.000000e+00  0.000000e+00  2.772906e-01  
2.035897e+00  9.087418e-03  8.760580e-01  0.000000e+00  0.000000e+00  3.369995e-01  0.000000e+00  0.000000e+00  -3.586882e-01  0.000000e+00  0.000000e+00  3.369995e-01  0.000000e+00  0.000000e+00  -3.586882e-01  0.000000e+00  0.000000e+00  3.369995e-01  2.035897e+00  9.087418e-03  8.760580e-01  0.000000e+00  0.000000e+00  3.369995e-01  0.000000e+00  0.000000e+00  -3.586882e-01  0.000000e+00  0.000000e+00  3.369995e-01  0.000000e+00  0.000000e+00  -3.586882e-01  0.000000e+00  0.000000e+00  3.369995e-01  
2.007298e+00  1.952717e-02  8.408906e-01  0.000000e+00  0.000000e+00  3.128086e-01  0.000000e+00  0.000000e+00  -3.731802e-01  0.000000e+00  0.000000e+00  3.128086e-01  0.000000e+00  0.000000e+00  -3.731802e-01  0.000000e+00  0.000000e+00  3.128086e-01  2.007298e+00  1.952717e-02  8.408906e-01  0.000000e+00  0.000000e+00  3.128086e-01  0.000000e+00  0.000000e+00  -3.731802e-01  0.000000e+00  0.000000e+00  3.128086e-01  0.000000e+00  0.000000e+00  -3.731802e-01  0.000000e+00  0.000000e+00  3.128086e-01  
2.124630e+00  2.704167e-02  8.592308e-01  0.000000e+00  0.000000e+00  3.113420e-01  0.000000e+00  0.000000e+00  -3.820237e-01  0.000000e+00  0.000000e+00  3.113420e-01  0.000000e+00  0.000000e+00  -3.820237e-01  0.000000e+00  0.000000e+00  3.113420e-01  2.124630e+00  2.704167e-02  8.592308e-01  0.000000e+00  0.000000e+00  3.113420e-01  0.000000e+00  0.000000e+00  -3.820237e-01  0.000000e+00  0.000000e+00  3.113420e-01  0.000000e+00  0.000000e+00  -3.820237e-01  0.000000e+00  0.000000e+00  3.113420e-01  
2.020610e+00  1.643425e-04  9.259854e-01  0.000000e+00  0.000000e+00  3.270502e-01  0.000000e+00  0.000000e+00  -3.619395e-01  0.000000e+00  0.000000e+00  3.270502e-01  0.000000e+00  0.000000e+00  -3.619395e-01  0.000000e+00  0.000000e+00  3.270502e-01  2.020610e+00  1.643425e-04  9.259854e-01  0.000000e+00  0.000000e+00  3.270502e-01  0.000000e+00  0.000000e+00  -3.619395e-01  0.000000e+00  0.000000e+00  3.270502e-01  0.000000e+00  0.000000e+00  -3.619395e-01  0.000000e+00  0.000000e+00  3.270502e-01  
2.044431e+00  1.632661e-02  8.614767e-01  0.000000e+00  0.000000e+00  2.441875e-01  0.000000e+00  0.000000e+00  -3.627655e-01  0.000000e+00  0.000000e+00  2.441875e-01  0.000000e+00  0.000000e+00  -3.627655e-01  0.000000e+00  0.000000e+00  2.441875e-01  2.044431e+00  1.632661e-02  8.614767e-01  0.000000e+00  0.000000e+00  2.441875e-01  0.000000e+00  0.000000e+00  -3.627655e-01  0.000000e+00  0.000000e+00  2.441875e-01  0.000000e+00  0.000000e+00  -3.627655e-01  0.000000e+00  0.000000e+00  2.441875e-01  
2.017809e+00  1.111190e-02  8.727968e-01  0.000000e+00  0.000000e+00  3.191088e-01  0.000000e+00  0.000000e+00  -3.643900e-01  0.000000e+00  0.000000e+00  3.191088e-01  0.000000e+00  0.000000e+00  -3.643900e-01  0.000000e+00  0.000000e+00  3.191088e-01  2.017809e+00  1.111190e-02  8.727968e-01  0.000000e+00  0.000000e+00  3.191088e-01  0.000000e+00  0.000000e+00  -3.643900e-01  0.000000e+00  0.000000e+00  3.191088e-01  0.000000e+00  0.000000e+00  -3.643900e-01  0.000000e+00  0.000000e+00  3.191088e-01  
