evolution,jt_GeV,cross_section_paper
1,0.09999999615385494,3.0873058575351515e-07
1,0.1213414622889331,3.518676735437811e-07
1,0.14723577176360358,3.9713695000049723e-07
1,0.1786585338649218,4.4214726555121194e-07
1,0.21678861510319591,5.013095430104917e-07
1,0.26304878142588906,5.698694242125784e-07
1,0.3191869941838596,6.303418297859106e-07
1,0.3872764255159412,6.516103985132984e-07
1,0.4699593539399526,6.465423339480817e-07
1,0.5702439071294452,6.153475189040868e-07
1,0.6919105763602085,5.263806337349756e-07
1,0.83959350478422,4.2883025744089366e-07
1,1.018739849061887,3.2311762642116454e-07
1,1.236178874202598,2.192500059772625e-07
1,1.499959365478388,1.3528855100074404e-07
0,0.09999999615385494,2.7518999832045715e-06
0,0.1213414622889331,3.2107423043236388e-06
0,0.14723577176360358,3.6760657023120365e-06
0,0.1786585338649218,4.095363617070361e-06
0,0.21678861510319591,4.382090963567695e-06
0,0.26304878142588906,4.41931552783707e-06
0,0.3191869941838596,4.08471856299243e-06
0,0.3872764255159412,3.3190768005245385e-06
0,0.4699593539399526,2.2317218308423187e-06
0,0.5702439071294452,1.1350985547644066e-06
0,0.6919105763602085,3.829265747824302e-07
0,0.83959350478422,7.048719068034867e-08
0,1.018739849061887,5.369313466041761e-09
0,1.236178874202598,1.095194742965333e-10
0,1.499959365478388,3.244871234547967e-13
